path,kind,title,size_bytes,counts,description,useful_for,generated_from,refresh_command
decomp-orchestrator/knowledge/sources/resource_guides/data/index.md,guide,Melee decomp resource library index,6381,,"Single top-level entry point and search playbook for the vertically sliced decomp resource library.","Starting point for agents and contributors before searching data sheets, PDFs, external mirrors, PR records, or repo metadata.",,
decomp-orchestrator/knowledge/sources/resource_guides/data/guides/resource_notes.md,guide,Melee decomp resource notes,2644,,"Cleaned-up archive of the original resource scratchpad with trust notes and context order.","Human orientation and caution rules for external resource use.",,
decomp-orchestrator/knowledge/sources/resource_guides/data/manifests/resource_index.csv,csv,Resource manifest,,55 resource records,"Machine-readable top-level manifest for local resources and generated search artifacts.","Ingestion into a local data store or search database.",,
decomp-orchestrator/knowledge/sources/resource_guides/data/manifests/acquisition_queue.csv,csv,Resource acquisition queue,3839,8 resource records,"Machine-readable status queue for mirrored and candidate external resources.","Tracking what has been pulled, where it lives locally, how to refresh it, and what caution applies.",,
decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/source/ssbm_data_sheet_1_02.xlsx,workbook,SSBM Data Sheet 1.02,202865,18 sheets,"Community workbook of Melee 1.02 addresses, IDs, offsets, structs, attributes, subaction events, and memory ranges.","Memory layout lookup, field naming, ID lookup, debugger watches, struct reconstruction, and data-backed decomp notes.",,
decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/tools/export_ssbm_data_sheet.py,script,SSBM data sheet CSV exporter,12754,,"Refresh script that exports the workbook into per-sheet CSVs, sheet_index.csv, and normalized cells.csv.","Rebuilding the local searchable data sheet store when the workbook changes.",decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/source/ssbm_data_sheet_1_02.xlsx,python3 decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/tools/export_ssbm_data_sheet.py
decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/csv/sheet_index.csv,csv,SSBM data sheet sheet index,5963,18 sheet records,"Generated index describing each workbook sheet, used ranges, row counts, cell counts, formulas, links, comments, and intended use.","Finding the right per-sheet CSV or deciding where a lookup belongs.",decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/source/ssbm_data_sheet_1_02.xlsx,python3 decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/tools/export_ssbm_data_sheet.py
decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/csv/cells.csv,csv,SSBM data sheet normalized cell index,4847419,9628 cell records,"Generated one-row-per-cell search table with sheet name, row/column/cell address, value, formula, hyperlink, comment, row label, nearest-above context, and row text.","Global text search across all workbook content and ingestion into a local search database.",decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/source/ssbm_data_sheet_1_02.xlsx,python3 decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/tools/export_ssbm_data_sheet.py
decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/csv/*.csv,csv_collection,SSBM data sheet per-sheet CSVs,,18 sheet CSVs,"Generated wide CSVs preserving source row numbers and spreadsheet column letters for each workbook sheet.","Sheet-specific context after finding a hit in cells.csv.",decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/source/ssbm_data_sheet_1_02.xlsx,python3 decomp-orchestrator/knowledge/sources/ssbm_data_sheet/data/tools/export_ssbm_data_sheet.py
decomp-orchestrator/knowledge/sources/powerpc_docs/data/tools/build_powerpc_pdf_index.py,script,PowerPC PDF page indexer,2999,,"Refresh script that extracts page-level text from local PowerPC PDFs with pdftotext.","Rebuilding the searchable PowerPC document index.",decomp-orchestrator/knowledge/sources/powerpc_docs/data/pdfs,python3 decomp-orchestrator/knowledge/sources/powerpc_docs/data/tools/build_powerpc_pdf_index.py
decomp-orchestrator/knowledge/sources/powerpc_docs/data/indexes/powerpc_pdf_pages.csv,csv,PowerPC PDF page index,1067085,520 page records,"Generated page-level text index for the PowerPC EABI, Compiler Writer's Guide, and ISA PDFs.","Searchable ABI, stack/register, instruction, condition-register, branch, conversion, and compiler-pattern lookup.",decomp-orchestrator/knowledge/sources/powerpc_docs/data/pdfs,python3 decomp-orchestrator/knowledge/sources/powerpc_docs/data/tools/build_powerpc_pdf_index.py
decomp-orchestrator/knowledge/sources/powerpc_docs/data/pdfs/PPCEABI.pdf,pdf,PowerPC Embedded Application Binary Interface,453932,37 pages,"PowerPC EABI 32-bit implementation reference.","ABI rules, register roles, stack frames, calling conventions, relocation/linkage expectations, and function boundary reasoning.",,
decomp-orchestrator/knowledge/sources/powerpc_docs/data/pdfs/powerpc-cwg.pdf,pdf,The PowerPC Compiler Writer's Guide,1150106,264 pages,"IBM compiler writer guide for PowerPC code generation.","Recognizing compiler-emitted assembly patterns, control flow, conversions, calling patterns, and optimizer/codegen idioms.",,
decomp-orchestrator/knowledge/sources/powerpc_docs/data/pdfs/ppc_isa.pdf,pdf,PowerPC User Instruction Set Architecture Book I,996984,219 pages,"Instruction semantics, condition register behavior, branch forms, loads/stores, integer operations, and floating-point operations.",,
decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py,script,External resource index builder,10290,,"Refresh script for Training Mode MAP, Tockdom compiler page, m-ex header indexes, and ppc2cpp source index.","Rebuilding searchable indexes after replacing mirrored external resources.",decomp-orchestrator/knowledge/sources/external_mirrors/data,python3 decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py
decomp-orchestrator/knowledge/sources/external_mirrors/data/training_mode/GTME01.map,external_mirror,Training Mode GTME01 map,954338,,"Mirrored Dolphin MAP file from UnclePunch Training Mode.","Debugger address/name hints and section layout lookup; names are not canonical repo truth.",https://raw.githubusercontent.com/UnclePunch/Training-Mode/master/GTME01.map,
decomp-orchestrator/knowledge/sources/external_mirrors/data/training_mode/indexes/gtme01_map_symbols.csv,csv,Training Mode GTME01 map symbol index,2689484,20951 symbol records,"Generated index of section, address, size, virtual address, flags, name, and placeholder status from GTME01.map.","Fast address/name lookup for debugger and symbol-hypothesis work.",decomp-orchestrator/knowledge/sources/external_mirrors/data/training_mode/GTME01.map,python3 decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py
decomp-orchestrator/knowledge/sources/external_mirrors/data/tockdom/compiler.html,external_mirror,Tockdom compiler page HTML,57196,,"Mirrored Tockdom Compiler wiki page HTML.","Source page for concise compiler/calling-convention notes.",https://wiki.tockdom.com/wiki/Compiler,
decomp-orchestrator/knowledge/sources/external_mirrors/data/tockdom/compiler.txt,text,Tockdom compiler page text,29471,,"Extracted searchable plain text from the Tockdom Compiler page.","Quick calling-convention reference below the local ABI PDF in authority.",decomp-orchestrator/knowledge/sources/external_mirrors/data/tockdom/compiler.html,python3 decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py
decomp-orchestrator/knowledge/sources/external_mirrors/data/tockdom/indexes/compiler_page.csv,csv,Tockdom compiler page index,29771,1 page record,"Generated one-row text index with URL, hash, word count, and extracted text.","Search/RAG ingestion of the Tockdom compiler page.",decomp-orchestrator/knowledge/sources/external_mirrors/data/tockdom/compiler.html,python3 decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py
decomp-orchestrator/knowledge/sources/external_mirrors/data/m_ex/include,external_mirror,m-ex MexTK include snapshot,,32 files,"Mirrored MexTK/include snapshot from akaneia/m-ex.","Header names, defines, typedefs, structs, and terms as search hints only.",https://github.com/akaneia/m-ex/tree/master/MexTK/include,
decomp-orchestrator/knowledge/sources/external_mirrors/data/m_ex/source_commit.txt,metadata,m-ex source commit,41,1 commit,"Upstream commit hash for the mirrored m-ex include snapshot.","Refresh provenance and reproducibility.",https://github.com/akaneia/m-ex,
decomp-orchestrator/knowledge/sources/external_mirrors/data/m_ex/indexes/header_files.csv,csv,m-ex header file index,4803,32 file records,"Generated file-level index for mirrored m-ex include files.","Finding relevant external headers and checking file sizes/hashes.",decomp-orchestrator/knowledge/sources/external_mirrors/data/m_ex/include,python3 decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py
decomp-orchestrator/knowledge/sources/external_mirrors/data/m_ex/indexes/header_symbols.csv,csv,m-ex header symbol index,360673,2790 symbol records,"Generated line-level index of includes, defines, typedefs, struct names, enum names, and function declarations from mirrored m-ex include files.","Name and term hints for local search; never direct struct truth without verification.",decomp-orchestrator/knowledge/sources/external_mirrors/data/m_ex/include,python3 decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py
